Meta,Categoria,Create time,Descrição,Frequência,Observações,Responsável,Roda da vida,Status,Week/day/month,record source
Aprimorar uma habilidade,career (TimeIsMoney),"July 30, 2025 8:36 PM",Focar em uma soft ou hard skill,2 Semanal,"Curso, prática, mentoria","Iarla, Charlles Dannilo",,dream,,
Emotional check,spirit and soul (Mood+Time),"July 30, 2025 8:36 PM",Conversar sobre como estão se sentindo,1 Diária,10 minutos antes de dormir |  Evita acúmulo de estresse,"Iarla, Charlles Dannilo",Equilíbrio Emocional,reality,Todo dia,"Daylio, Flo, Other Apps"
"  Guardar dinheiro ",Financeira,"July 30, 2025 8:36 PM",Separar % da renda total para poupança/investimento,3 Mensal," Ex: 20% da renda mensal    ","Iarla, Charlles Dannilo",Recursos Financeiros,goal,10° dia útil,"Excel, Notion, Nubank"
"Participar de reunião, evento ou projetos",career (TimeIsMoney),"July 30, 2025 8:36 PM",Networking ou visibilidade,3 Mensal,1x ao mês  | Conexões e crescimento na área,"Iarla, Charlles Dannilo",,delusion,1° Sunday,
Revisar performance,career (TimeIsMoney),"July 30, 2025 8:36 PM",Refletir sobre entregas e pontos fortes,3 Mensal,1x por mês | Autoanálise ou com feedbacks,"Iarla, Charlles Dannilo",,delusion,1° Sunday,
" Quitar dívidas     ",Financeira,"July 30, 2025 8:36 PM","Focar em pagamento de dívidas com juros altos  ",3 Mensal,"Ex: R$500/mês para quitar cartão    ","Iarla, Charlles Dannilo",,goal,10° dia útil,Nubank
" Reduzir gastos supérfluos",Financeira,"July 30, 2025 8:36 PM","Evitar delivery, compras por impulso, etc. ",2 Semanal,"Máx R$300/mês em lazer opcional      ","Iarla, Charlles Dannilo",Recursos Financeiros,dream,,Money
30 min de  Exercício físico,motor (Health),"July 30, 2025 8:36 PM","Minimo de 30min.
Fazer atividade física (caminhada, treino em casa, academia)",1 Diária,"30 minutos por dia  ","Iarla, Charlles Dannilo",Saúde e Disposição,goal,Todo dia,"GymRats, Health Samsung, Other Apps, Strava"
" Avaliar evolução  ",Financeira,"July 30, 2025 8:36 PM",Revisar juntos o quanto economizaram e onde podem melhorar,3 Mensal,"Planilha ou app de controle atualizado   ","Iarla, Charlles Dannilo",,dream,1° Sunday,"Excel, Notion, Nubank"
Estudar um tema específico,study (Mood+Money),"July 30, 2025 8:36 PM","Cada um foca em um tema (ex: inglês, finanças, carreira)",1 Diária,"30 min a 1h/dia | Pode ser leitura, vídeo ou curso ","Iarla, Charlles Dannilo",Intelectual,goal,Todo dia,"Alura, DIO, Other Apps"
Dar ideias ou liderar algo,career (TimeIsMoney),"July 30, 2025 8:36 PM",Propor algo no trabalho ou ajudar alguém,3 Mensal,Pode ser uma pequena ação ou sugestão,"Iarla, Charlles Dannilo",,delusion,1° Sunday,
Definir 1 objetivo profissional,career (TimeIsMoney),"July 30, 2025 8:36 PM",Algo que querem conquistar ou melhorar,4 Trimestral," Ex: concluir projeto, ganhar promoção","Iarla, Charlles Dannilo",Realização e Propósito,dream,1° Sunday,
"Acompanhar evolução ",study (Mood+Money),"July 30, 2025 8:36 PM",Ver o que foi estudado na semana e planejar próxima,2 Semanal,"Todo domingo    | Usar planner, Notion ou caderno ","Iarla, Charlles Dannilo",,dream,,
" Planejamento financeiro ",Financeira,"July 30, 2025 8:36 PM","Planejar os gastos do mês seguinte (contas, lazer, compras) ",3 Mensal,"100% dos gastos previstos no início do mês ","Iarla, Charlles Dannilo",Recursos Financeiros,dream,1° dia útil,"Notion, Nubank"
Sono regulado - 8h de 22h às 6h,mental (Health),"July 30, 2025 8:36 PM",Dormir entre 7-8 horas,1 Diária,Estipular horário máximo pra dormir,"Iarla, Charlles Dannilo",Saúde e Disposição,goal,Todo dia,Health Samsung
"Estudo em dupla  ",study (Mood+Money),"July 30, 2025 8:36 PM","1x por semana compartilhar o que aprenderam ",2 Semanal,1x/semana       | Pode ser sábado ou domingo,"Iarla, Charlles Dannilo",,dream,,
"Hidratação            ",mental (Health),"July 30, 2025 8:36 PM",Beber no mínimo 2L de água cada,1 Diária,"App ou garrafinha para controle ","Iarla, Charlles Dannilo",,delusion,Todo dia,"Daylio, Flo, Health Samsung, Other Apps, Yazio"
Um livro por mês,Connection and Peace,"August 25, 2025 12:29 PM",,3 Mensal,,,Intelectual,dream,1° Sunday,"Kindle, Notion"
Um módulo da semana,career (TimeIsMoney),"August 25, 2025 12:30 PM",,2 Semanal,,,,goal,"Sunday, Thursday, Tuesday","Alura, Notion"
Viajar uma vez por ano,Connection and Peace,"August 25, 2025 12:34 PM",,6 Anual,,,Criatividade Hobbies e Diversão,delusion,"March, September",Money
Terapia,spirit and soul (Mood+Time),"August 25, 2025 12:35 PM",,2 Semanal,,,,delusion,,Money
Check Up semestral,mental (Health),"August 25, 2025 12:35 PM",,5 Semestral,,,,delusion,,
Aprender Inglês,career (TimeIsMoney),"August 25, 2025 12:40 PM",,,,,Intelectual,goal,,
Aprender Japonês,Connection and Peace,"August 25, 2025 12:40 PM",,,,,,delusion,,
1 capítulo da Bíblica,spirit and soul (Mood+Time),"August 25, 2025 3:08 PM",1 chapter per day,1 Diária,,,Espiritualidade,reality,Todo dia,"Google Task, YourVerse"
Orar 3 à 5 min,spirit and soul (Mood+Time),"January 20, 2026 6:19 PM","3 à 5 min 
3 to 5 minutes",1 Diária,,,Espiritualidade,goal,Todo dia,"Google Task, YourVerse"
Menstruation check,spirit and soul (Mood+Time),"January 20, 2026 6:46 PM",,1 Diária,,Iarla,Equilíbrio Emocional,reality,Todo dia,Flo
Food check,metabolic (Health),"January 20, 2026 6:51 PM",,1 Diária,,Iarla,,reality,Todo dia,Yazio
Banho gelado,health (Mood),"January 20, 2026 6:56 PM",,1 Diária,,Iarla,Plenitude e Felicidade,goal,Todo dia,Google Task
Leitura Lúdica,Connection and Peace,"January 20, 2026 7:04 PM",1 chapter per day,1 Diária,,Iarla,Criatividade Hobbies e Diversão,goal,Todo dia,"Kindle, Other Apps"
Leitura Tech,career (TimeIsMoney),"January 20, 2026 7:05 PM",3 chapter per week,2 Semanal,,Iarla,,goal,"Sunday, Thursday, Tuesday","Kindle, Other Apps"
Leitura Autoajudar,spirit and soul (Mood+Time),"January 20, 2026 7:05 PM",1 chapter per day,1 Diária,,Iarla,Equilíbrio Emocional,goal,Todo dia,"Kindle, Other Apps"
Post Linkedin,career (TimeIsMoney),"January 20, 2026 7:17 PM","Networking ou visibilidade
Participar nas rede",2 Semanal,,Iarla,Vida Social,goal,"Friday, Monday",Linkedin
Skincare,Connection and Peace,"January 20, 2026 7:21 PM",,2 Semanal,,Iarla,Plenitude e Felicidade,reality,"Sunday, Wednesday",Money
Haircare,Connection and Peace,"January 20, 2026 7:22 PM",,2 Semanal,,Iarla,Plenitude e Felicidade,reality,"Sunday, Wednesday",Money
Podcast in English,study (Mood+Money),"January 20, 2026 7:42 PM",,2 Semanal,,Iarla,,goal,"Thursday, Tuesday","Spotify, in English pleace!"
Podcast PT BR,spirit and soul (Mood+Time),"January 20, 2026 8:12 PM",,2 Semanal,,Iarla,,goal,"Sunday, Wednesday",Spotify
Reading in English,study (Mood+Money),"January 20, 2026 8:50 PM",,2 Semanal,,Iarla,,delusion,Thursday,"Kindle, in English pleace!"
Aprender Espanhol,career (TimeIsMoney),"January 26, 2026 1:46 PM",,,,Iarla,,dream,,
Aprender a se apresentar e descrever sua rotina de trabalho simples.,study (Mood+Money),"January 26, 2026 8:25 PM",,5 Semestral,,Iarla,,goal,Wednesday,Google Translate
14h à 16h deJejum,metabolic (Health),"February 9, 2026 4:09 PM",,1 Diária,,Iarla,Espiritualidade,goal,Todo dia,Other Apps
2 Refeições e 2 cafés,metabolic (Health),"February 9, 2026 5:01 PM",,1 Diária,,Iarla,Saúde e Disposição,goal,Todo dia,Yazio
Tempo de qualidade ou outra linguagem do amor,Connection and Peace,"February 9, 2026 5:25 PM",,1 Diária,,Iarla,Vida Amorosa,delusion,,
Ligar para família,,"February 9, 2026 5:26 PM",,2 Semanal,,Iarla,Família,delusion,,
Visitar família,family (Mood+Time),"February 9, 2026 5:26 PM",,3 Mensal,,Iarla,Família,delusion,,